cmc_id,symbol,name,chainid,address,verified,contract,is_proxy,ch1,ch1_event,ch1_logs,ch1_firstblock,ch3,ch3_event,ch3_logs,ch3_firstblock,ch2
3855,LOCUS,Locus Chain,1,0xc64500dd7b0f1794807e67802f8abbf5f8ffb054,True,LocusToken,0,-,,,,-,,,,Transfer(universal)
3874,IRIS,IRISnet,1,0x76C4A2B59523eaE19594c630aAb43288dBB1463f,True,IbcToken,0,-,,,,-,,,,Transfer(universal)
3911,OCEAN,Ocean Protocol,1,0x967da4048cd07ab37855c090aaf366e4ce1b9f48,True,OceanToken,0,-,,,,-,,,,Transfer(universal)
3916,THX,ThoreNext,1,0xf08c68bd5f4194d994fd70726746bf529ee5a617,True,HumanStandardToken,0,-,,,,-,,,,Transfer(universal)
3928,IDEX,IDEX,1,0xb705268213d593b8fd88d3fdeff93aff5cbdcfae,True,IDEX,0,-,,,,-,,,,Transfer(universal)
3930,TT,ThunderCore,1,0x1E053D89E08c24aA2CE5C5B4206744Dc2D7BD8F5,True,TokenProxy->impl:ERC677InitializableBridgeToken,1,-,,,,-,,,,Transfer(universal)
3992,COTI,COTI,1,0xDDB3422497E61e13543BeA06989C0789117555c5,True,Coti,0,-,,,,-,,,,Transfer(universal)
4006,AWE,AWE,8453,0x1B4617734C43F6159F3a70b7E06d883647512778,True,ERC1967Proxy->impl:AWE,1,-,,,,ERC20Votes-ABIonly [getLogs needs PAID plan on this chain],"DelegateVotesChanged(address,uint256,uint256)",,,Transfer(universal)
4090,WXT,Wirex Token,1,0xa02120696c7B8fE16C09C749E4598819b2B0E915,True,WirexToken,0,-,,,,-,,,,Transfer(universal)
4113,UNI,UNI COIN,1,0xe6877ea9c28fbdec631ffbc087956d0023a76bf2,True,UniCoinToken,0,-,,,,-,,,,Transfer(universal)
4134,AKRO,Kaon,1,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,True,TokenProxy->impl:AkropolisToken,1,GENUINE,Locked(),1,8099298,-,,,,Transfer(universal)
4172,LUNC,Terra Classic,1,0xbd31ea8212119f94a611fa969881cba3ea06fa3d,True,BridgeToken->impl:TokenImplementation,1,-,,,,-,,,,Transfer(universal)
4195,FTT,FTX Token,1,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,True,FTT,0,-,,,,-,,,,Transfer(universal)
4206,WIN,WINkLink,56,0xaef0d72a118ce24fee3cd1d43d383897d05b4e99,True,BEP20UpgradeableProxy->impl:BEP20TokenImplementation,1,-,,,,-,,,,Transfer(universal)
4217,BOA,BOSagora,1,0x51bD4f39803fcAEFf3ef45aae2C3aaFf0B9faDcb,True,BOSAGORA,0,-,,,,-,,,,Transfer(universal)
4360,FAB,FABRK,1,0x12683dc9eec95a5f742d40206e73319e6b9d8a91,True,FABToken,0,-,,,,-,,,,Transfer(universal)
4598,ACA,Acash Coin,1,0x63d958d765f5bd88efdbd8afd32445393b24907f,True,ACASH,0,-,,,,-,,,,Transfer(universal)
4679,BAND,Band,1,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,True,BandToken,0,-,,,,-,,,,Transfer(universal)
4862,DAD,DAD,1,0x5b322514ff727253292637d9054301600c2c81e8,True,DAD,0,-,,,,-,,,,Transfer(universal)
